Totalsales;Travel To
135;MARSALA
84;ISEO
135;MARSALA
126,72;No_Travel To
315;MILANO
181,83;No_Travel To
70;CIVITAVECCHIA
95;TRENTO
160,76;No_Travel To
86;MILANO
121,95;No_Travel To
51,97;No_Travel To
192;MISTERBIANCO
45,75;No_Travel To
80;LECCE
55;LIVORNO
65;LIVORNO
-55;LIVORNO
69;CAGLIARI
212,01;CAGLIARI
316;CARBONIA
56,11;No_Travel To
95;TRIESTE
126,72;No_Travel To
72,47;No_Travel To
74;ROMA
74;ROMA
60;CODROIPO
304,85;No_Travel To
37,55;No_Travel To
87,4;No_Travel To
67,23;No_Travel To
296,4;LA SPEZIA
129,21;No_Travel To
229,3;No_Travel To
105;TRENTO
158;CASALECCHIO DI
62;BARI
164,63;No_Travel To
249,11;No_Travel To
87,4;No_Travel To
158;CASALECCHIO DI
300;ASSEMINI
174,8;No_Travel To
50;CELANO
155;MONTECATINI TER
69;PORDENONE
80;ALBA
87,8;TORINO
420;CATANIA
-420;CATANIA
70;CIVITAVECCHIA
243,9;No_Travel To
131,1;No_Travel To
339,4;No_Travel To
144;CATANIA
189;CATANIA
252;CATANIA
87,4;No_Travel To
99,63;No_Travel To
85,47;No_Travel To
992,5;No_Travel To
63,2;ISTRANA
189,6;ISTRANA
177;ISTRANA
177;ISTRANA
69;ALESSANDRIA
90;TORINO
82;MILANO
60;NOTO
116;VENEZIA
-116;VENEZIA
222;ROMA
145,8;ROMA
161,94;No_Travel To
243;BOLOGNA
294,84;No_Travel To
80;TIVOLI
110,73;No_Travel To
79;NOTO
138;NOVARA
144,83;No_Travel To
81,68;No_Travel To
100;VERBANIA
50;VERBANIA
-100;VERBANIA
89;TRIESTE
90;BIELLA
95;ALASSIO
-95;ALASSIO
74,75;No_Travel To
-160;ALASSIO
80;ALASSIO
170;ALASSIO
210;ALASSIO
-170;ALASSIO
48,35;No_Travel To
-74;ROMA
160;ALASSIO
-340;TORINO
150;ROMA
220;ROMA
74;ROMA
74;ROMA
90;TRIESTE
72;VENEZIA
160;MONTECATINI TER
59;PISTOIA
185,25;SESTO FIORENTIN
205,05;SESTO FIORENTIN
256,05;SESTO FIORENTIN
-256,05;SESTO FIORENTIN
-185,25;SESTO FIORENTIN
161,96;No_Travel To
51;PISA
200;VERBANIA
147;NOVARA
155;MONTECATINI TER
59;PISTOIA
179,55;SESTO FIORENTIN
205,05;SESTO FIORENTIN
-179,55;SESTO FIORENTIN
160;PARMA
80;PARMA
80;LECCE
186;ANZOLA DELL EMI
229,5;BOLOGNA
-186;ANZOLA DELL EMI
74;ROMA
-74;ROMA
160;PARMA
-160;PARMA
210,12;No_Travel To
115;TERRANUOVA BRAC
159,99;TERRANUOVA BRAC
174,99;TERRANUOVA BRAC
67;FIRENZE
174,8;No_Travel To
165;SAVONA
62;BARI
131,1;No_Travel To
160;TIVOLI
260;MALBORGHETTO VA
260;MALBORGHETTO VA
195;MALBORGHETTO VA
68;LIVORNO
220;FOSSANO
90;VENEZIA
88,6;ROMA
99,6;ROMA
93,1;ROMA
89,1;ROMA
-93,1;ROMA
69;PISTOIA
182,4;SESTO FIORENTIN
179,55;SESTO FIORENTIN
205,05;SESTO FIORENTIN
-182,4;SESTO FIORENTIN
-179,55;SESTO FIORENTIN
51;PISA
65;PORTOGRUARO
57,94;No_Travel To
180;TERRANUOVA BRAC
65;APRILIA
78,81;No_Travel To
95;TRIESTE
67;VERCELLI
65;APRILIA
85;VENEZIA
187;VENEZIA
160;ALASSIO
236;NOVARA
-236;NOVARA
125,99;RUNGIS
993,86;CAYENNE
149;DIEGEM
14;NAPOLI
14;FORMIA-GAETA
-176,84;KONYA
51,3;ROMA
51,3;NAPOLI
39,5;ROMA
39,5;NAPOLI
1492,34;ABU DHABI
14;FIUMICINO
14;ROMA
1492,34;ABU DHABI
14;FIUMICINO
14;ROMA
437,7;No_Travel To
250;AGADIR
388,5;AGADIR
258,9;No_Travel To
311,36;No_Travel To
495,28;SPATAS
51,3;ROMA
51,3;NAPOLI
81,84;CAGLIARI
297;MADRID
14;FIUMICINO
14;ROMA
61,36;BUDAPEST
14;FIUMICINO
14;ROMA
14;FIUMICINO
14;ROMA
110;BRUXELLES
14;FIUMICINO
14;ROMA
109,16;LA TESTE DE BUC
62,75;GUJAN MESTRAS
-109,16;LA TESTE DE BUC
91,52;TOULOUSE
81,84;CAGLIARI
39,4;SALERNO
46,6;ROMA
51,3;ROMA
51,3;NAPOLI
21,94;WOBURN
102,6;VENEZIA
102,6;ROMA
322,56;No_Travel To
-176,8;KONYA
71,68;HYERES
-71,68;HYERES
1477;ABU DHABI
75,48;HYERES
75,48;HYERES
86,88;HYERES
51,3;ROMA
51,3;NAPOLI
70,57;GUJAN MESTRAS
91,52;TOULOUSE
471,65;No_Travel To
51,3;ROMA
51,3;NAPOLI
4;PAVIA
2,1;ROMA
98,8;MILANO
107,1;ROMA
4;MILANO
2,1;POMEZIA
51,3;ROMA
51,3;NAPOLI
10,3;ROMA
10,3;NAPOLI
-51,3;ROMA
-51,3;NAPOLI
224,1;BRUXELLES
370,2;BRUXELLES
-224,1;BRUXELLES
12;No_Travel To
1105;ABU DHABI
52,3;ROMA
52,3;FIRENZE
268,2;DIEGEM
-268,2;DIEGEM
145;LUXEMBOURG
71,68;HYERES
75,48;HYERES
75,48;HYERES
86,88;HYERES
63,25;NIZZA
221;No_Travel To
183,75;TROYES
311,48;PARIGI
100,52;TOULOUSE
113;MULHOUSE
-113;MULHOUSE
242,1;BRUXELLES
-242,1;BRUXELLES
191,7;TROYES
309;PARIGI
1477;ABU DHABI
12;No_Travel To
25,7;MALINDI
274,84;TOULOUSE
65,6;BOLOGNA
65,6;ROMA
566,09;BADHOEVEDORP
-566,09;BADHOEVEDORP
89,1;VERONA
89,1;ROMA
160,2;No_Travel To
715,1;No_Travel To
39,5;ROMA
39,5;NAPOLI
776,96;No_Travel To
389,61;No_Travel To
67,31;KRAKOW
44;LUBLINIEC
103;KRAKOW
204,17;No_Travel To
143,83;No_Travel To
87,28;WOBURN
98,8;ROMA
98,8;MILANO
129,52;SPATAS
65,6;BOLOGNA
65,6;ROMA
39,5;ROMA
39,5;NAPOLI
11,86;GLASGOW
39,5;ROMA
39,5;FIRENZE
107,1;MILANO
107,1;ROMA
125,1;MILANO
25,05;MILANO
-125,1;MILANO
602,72;KORSOR
107,1;MILANO
107,1;ROMA
152,08;BRUXELLES
89;VENEZIA
78;ROMA
42,7;No_Travel To
98,8;MILANO
98,8;ROMA
39,5;ROMA
39,5;FIRENZE
125,1;VENEZIA
125,1;NAPOLI
65,6;BOLOGNA
65,6;ROMA
107,1;MILANO
107,1;ROMA
107,1;MILANO
107,1;ROMA
107,1;MILANO
107,1;ROMA
460;ATENE
102,6;ROMA
102,6;VENEZIA
39,5;ROMA
39,5;FIRENZE
107,1;MILANO
107,1;ROMA
109;No_Travel To
99,95;VENEZIA
39,5;ROMA
39,5;FIRENZE
52,3;ROMA
51,3;ROMA
51,3;NAPOLI
51,3;ROMA
51,3;NAPOLI
39,5;ROMA
39,5;NAPOLI
48;No_Travel To
51,3;ROMA
51,3;NAPOLI
39,5;ROMA
39,5;NAPOLI
65,6;BOLOGNA
65,6;ROMA
39,5;ROMA
39,5;NAPOLI
65,6;BOLOGNA
65,6;ROMA
206,5;No_Travel To
102,6;VENEZIA
102,6;ROMA
102,6;VENEZIA
102,6;ROMA
259,04;SPATAS
89;VENEZIA
102,6;ROMA
102,6;VENEZIA
102,6;ROMA
102,6;VENEZIA
102,6;ROMA
264;DIEGEM
463,6;ORLANDO
98,8;MILANO
107,1;ROMA
52,3;ROMA
52,3;FIRENZE
417;SALY PORTUDAL
44,5;ROMA
44,5;NAPOLI
102,6;VENEZIA
3,4;VENEZIA
102,6;ROMA
3,4;TREVISO
18;No_Travel To
107,1;ROMA
107,1;MILANO
12;No_Travel To
184,99;No_Travel To
4,5;ROMA
-107,1;ROMA
102,6;ROMA
102,6;TRENTO
102,6;ROMA
39,5;ROMA
39,5;FIRENZE
720;SYROS
825,86;No_Travel To
161;No_Travel To
109;BARCELONA
107,1;MILANO
107,1;ROMA
1350;ABU DHABI
61,36;BUDAPEST
102,6;VENEZIA
3,4;VENEZIA
102,6;ROMA
3,4;TREVISO
446,64;No_Travel To
17,1;ROMA
8,2;FORMIA-GAETA
8,2;ROMA
8,2;FORMIA-GAETA
417;SALY PORTUDAL
61,36;BUDAPEST
145;LUXEMBOURG
74,5;ROMA
74,5;MILANO
107,1;MILANO
107,1;ROMA
39,5;ROMA
39,5;FIRENZE
89;VENEZIA
102,6;ROMA
39,4;SALERNO
46,6;ROMA
179,82;No_Travel To
460;ATENE
126,47;BRUXELLES
296,48;BRUXELLES
660,39;No_Travel To
147,2;TROYES
311,48;PARIGI
108;ROMA
108;ROMA
108;ROMA
125,1;NAPOLI
14;FIUMICINO
1,5;ROMA
14;ROMA
2,1;FRASCATI
123,06;FIUMICINO
51,3;NAPOLI
1097,59;LAS VEGAS
260,8;No_Travel To
-260,8;No_Travel To
260,8;No_Travel To
-260,8;No_Travel To
63;FIUMICINO
19,03;SEOUL
249,08;PARIGI
79,98;CAGLIARI
618,37;BRUXELLES
843,92;ABU DHABI
894,92;ABU DHABI
132,08;CAGLIARI
365,44;AGADIR
50;FIUMICINO
98,67;ATENE
132,08;CAGLIARI
161,07;CATANIA
223,97;MADRID
30;MADRID
-137,58;CAGLIARI
57,12;FIUMICINO
132,08;CAGLIARI
259,75;BUDAPEST
132,08;CAGLIARI
132,08;CAGLIARI
132,08;CAGLIARI
249,37;BRUXELLES
132,08;CAGLIARI
525,37;BRUXELLES
-525,37;BRUXELLES
132,08;FIUMICINO
679,56;TOLOUSE
499,37;BRUXELLES
199,18;FIUMICINO
132,08;FIUMICINO
854,12;ABU DHABI
484,96;NIZZA
634,75;NIZZA
128,08;FIUMICINO
219,7;NIZZA
897,82;NIZZA
474,82;NIZZA
-897,82;NIZZA
-474,82;NIZZA
132,08;CAGLIARI
679,56;TOLOUSE
132,08;CAGLIARI
326,85;CATANIA
132,08;CAGLIARI
173;BRUXELLES
679,59;FIUMICINO
132,08;CAGLIARI
215,96;TORINO
84,68;FIUMICINO
3669,05;ABU DHABI
132,08;CAGLIARI
132,08;CAGLIARI
128,08;CAGLIARI
498,37;BRUXELLES
65;BRUXELLES
-482,37;BRUXELLES
402,37;LUXEMGOURG
132,08;FIUMICINO
199,18;FIUMICINO
105,03;NIZZA
132,08;CAGLIARI
484,96;NIZZA
634,82;NIZZA
-57,12;FIUMICINO
128,08;FIUMICINO
218,69;NIZZA
474,82;NIZZA
-474,82;NIZZA
133,96;TORINO
252,68;FIUMICINO
-137,58;CAGLIARI
405,88;PARIGI
644,64;TOLOUSE
641,03;BASILEA
-641,03;BASILEA
655,78;BRUXELLES
679,59;FIUMICINO
-655,78;BRUXELLES
-655,59;FIUMICINO
505,88;PARIGI
831,14;VENEZIA
895,05;ABU DHABI
114,34;TRAPANI
132,08;CAGLIARI
128,08;CAGLIARI
641,03;BASILEA
-641,03;BASILEA
561,97;TOLOUSE
132,08;CAGLIARI
346,98;CATANIA
647,31;AMSTERDAM
301,31;AMSTERDAM
265,67;ATENE
528,37;BRUXELLES
-528,37;BRUXELLES
451,16;ABU DHABI
550,58;FIUMICINO
221,67;ATENE
132,08;CAGLIARI
177,23;NAPOLI
687,31;AMSTERDAM
212,31;COPENAGHEN
91,89;BRUXELLES
748,37;BRUXELLES
623,37;BRUXELLES
134;BRUXELLES
132,08;CAGLIARI
128,08;CAGLIARI
204,67;ATENE
132,08;CAGLIARI
137,58;FIUMICINO
132,08;FIUMICINO
132,08;CAGLIARI
132,08;FIUMICINO
132,08;FIUMICINO
140,2;PALERMO
132,08;CAGLIARI
128,08;CAGLIARI
650,19;VENEZIA
162,84;FIUMICINO
163,8;CATANIA
223,8;CATANIA
124,8;CATANIA
160,8;CATANIA
132,08;CAGLIARI
128,08;CAGLIARI
132,08;FIUMICINO
136,31;GENOVA
244,31;GENOVA
452,67;ATENE
308,37;BRUXELLES
1472,99;ORLANDO
1305,42;DAKAR
184,31;MILANO
45,96;GENOVA
69,35;FIUMICINO
280,31;GENOVA
196,31;GENOVA
137,58;FIUMICINO
132,08;FIUMICINO
166,11;BARCELLONA
934,16;ABU DHABI
186,33;CASABLANCA
122,65;FIUMICINO
259,75;BUDAPEST
687,31;AMSTERDAM
137,58;FIUMICINO
132,08;FIUMICINO
132,08;FIUMICINO
132,08;FIUMICINO
196,31;GENOVA
119;GENOVA
1305,42;DAKAR
259,75;BUDAPEST
402,37;LUXEMGOURG
328,14;VENEZIA
197,86;LAMEZIA TERME
171,67;ATENE
132,08;CAGLIARI
623,37;BRUXELLES
366,88;PARIGI
128,08;CAGLIARI
132,79;VENEZIA
133,51;MILANO
254,91;PALERMO
128,08;CAGLIARI
362,66;TEL AVIV
1321,92;MOMBASA
2035,94;LAS VEGAS
-302,68;FIUMICINO
504,48;MOMBASA
167;GENOVA
339,81;GENOVA
63;CATANIA
300,33;No_Travel To
1417;CATANIA
318,74;No_Travel To
363,34;No_Travel To
211,22;No_Travel To
85,21;No_Travel To
153,35;No_Travel To
1417;CATANIA
112,19;No_Travel To
241,94;No_Travel To
118,12;No_Travel To
312;PORTOGRUARO
312;CATANZARO
-312;CATANZARO
144;CAGLIARI
309,83;No_Travel To
269,89;No_Travel To
63;CATANIA
384;MISTERBIANCO
224;MORTARA
242;BORGARO TORINES
62,31;No_Travel To
91,72;No_Travel To
103,07;No_Travel To
161,94;No_Travel To
149,44;No_Travel To
70,75;No_Travel To
436;LA SPEZIA
436;LA SPEZIA
47,59;No_Travel To
155;TORINO
436;LA SPEZIA
218;LA SPEZIA
344;ASSEMINI
95,19;No_Travel To
280;GIOIA DEL COLLE
303,22;No_Travel To
203,92;No_Travel To
203,92;No_Travel To
61,09;No_Travel To
70,05;No_Travel To
138;CAGLIARI
1950;CAGLIARI
106,6;No_Travel To
98,5;No_Travel To
70;BOLOGNA
72;BOLOGNA
-70;BOLOGNA
48,35;No_Travel To
496;CATANIA
148;VILLAFRANCA DI
510;No_Travel To
365,96;No_Travel To
205,63;No_Travel To
79;TARQUINIA
78,29;No_Travel To
240;TARQUINIA
74,73;No_Travel To
70;BOLOGNA
72;BOLOGNA
-70;BOLOGNA
90;POGGIRIDENTI
116;MILANO
-116;MILANO
75;MONTEVARCHI
70,3;ROMA
58;BIELLA
74;ROMA
71,1;ROMA
150,72;No_Travel To
222,72;No_Travel To
342,33;No_Travel To
296;CESANO MADERNO
428,6;No_Travel To
820,3;No_Travel To
39,38;No_Travel To
291,6;VENEZIA
70;BOLOGNA
72;BOLOGNA
55,21;No_Travel To
145,56;No_Travel To
144;TARQUINIA
99,63;No_Travel To
369;TARQUINIA
210,44;No_Travel To
99,63;No_Travel To
87,4;No_Travel To
331,49;No_Travel To
131,1;No_Travel To
208,33;No_Travel To
190;VIBO VALENTIA
-190;VIBO VALENTIA
339,9;No_Travel To
198,16;No_Travel To
80;ARONA
80;DOMODOSSOLA
70;AOSTA
105;TORINO
73;MONTEVARCHI
342;PORDENONE
90;QUINTO DI TREVI
85;DOMODOSSOLA
59,9;MILANO
417,8;TORINO
417,8;TORINO
-417,8;TORINO
280;GORIZIA
158;TARQUINIA
79;TARQUINIA
294;TARQUINIA
185,33;No_Travel To
288;CATANIA
252;CATANIA
297;CATANIA
339,02;CATANIA
65;PERUGIA
110,41;No_Travel To
59;MONSANO
37,55;No_Travel To
70;BOLOGNA
72;BOLOGNA
-70;BOLOGNA
70;BOLOGNA
72;BOLOGNA
-70;BOLOGNA
87,4;No_Travel To
332,56;No_Travel To
95,19;No_Travel To
955,38;No_Travel To
182,09;No_Travel To
138;ISTRANA
240,16;ISTRANA
100;TREVISO
276;ISTRANA
256;ISTRANA
179;MILANO
312;CINISI
213,3;ROMA
74;ROMA
173,7;ROMA
89,1;ROMA
338,4;ROMA
186,12;No_Travel To
99,63;No_Travel To
290,34;No_Travel To
80;TIVOLI
332,66;No_Travel To
125,05;No_Travel To
472,49;No_Travel To
112,23;No_Travel To
145,16;No_Travel To
52,45;No_Travel To
300;ALASSIO
134,99;No_Travel To
70;TRENTO
-65;ROMA
94,92;No_Travel To
114,85;No_Travel To
141,93;No_Travel To
160;ALASSIO
240;ALASSIO
44,87;No_Travel To
2560;ALASSIO
87,4;No_Travel To
74;ROMA
52;ROMA
109,83;No_Travel To
54,62;No_Travel To
160,13;No_Travel To
344;ASSEMINI
98;MILANO
225;ROMA
300;ROMA
280;ROMA
235;ROMA
133,2;ROMA
90;TRIESTE
169,1;VENEZIA
74;ROMA
164,42;No_Travel To
61,94;No_Travel To
242;MILANO
258;MILANO
-242;MILANO
215,4;No_Travel To
400;BIELLA
400;BIELLA
300;BIELLA
-400;BIELLA
196,6;No_Travel To
342;BIELLA
141,81;No_Travel To
80;ARONA
80;DOMODOSSOLA
70;AOSTA
105;TORINO
260;PORDENONE
417,8;TORINO
280;GORIZIA
160;ALASSIO
92,71;No_Travel To
221;MILANO
100;TREVISO
237;MARANELLO
340;CERVIA
170;CERVIA
-340;CERVIA
148;ROMA
180;CERVIA
-170;CERVIA
271,1;ROMA
385,2;ROMA
-385,2;ROMA
169,2;ROMA
222,72;No_Travel To
244;MILANO
190;SESTO SAN GIOVA
176,2;No_Travel To
240;TERRANUOVA BRAC
240;TERRANUOVA BRAC
180;TERRANUOVA BRAC
120;TERRANUOVA BRAC
50;COLLE VAL D''EL
-50;COLLE VAL D''EL
78,23;LAIVES
147;SAVONA
179,91;No_Travel To
312;CATANZARO
-312;CATANZARO
65;PERUGIA
98;MILANO
195;MALBORGHETTO VA
-260;MALBORGHETTO VA
260;MALBORGHETTO VA
260;MALBORGHETTO VA
236;SAVONA
-236;SAVONA
643,41;No_Travel To
103,58;ROMA
74;ROMA
312;CINISI
109,24;No_Travel To
84,19;No_Travel To
